baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT4G08040	207.934574631269	1.79720913801575	0.478969394409655	3.75224212442816	0.000175260073372995	0.0256228235679576
AT4G17470	664.380092371021	-1.60827993280491	0.404644801843553	-3.97454736963782	7.05132276123823e-05	0.014174811403861
AT4G21323	772.284250911753	-1.13928318780342	0.226866621551673	-5.02181934041774	5.1184316026105e-07	0.000411569886146159
AT4G23590	1378.15475838215	-1.20712131198688	0.322783017138504	-3.7397299358811	0.000184218069183522	0.0264810901573251
AT4G25410	916.270702801138	-1.34182129616234	0.274509966507671	-4.88806039807244	1.01834291413698e-06	0.000639097110333136
AT4G27670	894.72588023575	-1.48582233839198	0.400776312869537	-3.70736066648643	0.000209430575755389	0.0283624112882206
AT4G28420	324.96306867685	-1.15858780004087	0.217278947780715	-5.33225980645929	9.69980252930681e-08	0.000131360852042944
AT4G31870	514.741578225214	-1.77198436039598	0.453673629905596	-3.90585708224811	9.38919953577695e-05	0.0171342903017785
AT4G32490	180.437416619638	-1.42750145015889	0.350764890868505	-4.06968167944161	4.70774159464481e-05	0.0110897507683849
AT4G32500	514.314050616356	-1.10125122590357	0.317428760827038	-3.46928622042421	0.000521843186593667	0.047805303186816
AT4G32510	307.975535599041	-1.07519442554475	0.308549050639765	-3.48467909175341	0.000492727598351728	0.0462714373474026
AT4G37800	6259.05027128143	1.15049133102613	0.293748252947532	3.91658952685457	8.98104730402883e-05	0.0165774637012778
